Aluno,Lab,PP_Delete,Duracao,PP_Paste,Qntd_Linhas,Linhas_Log,Qntd_Linhas_Filtrado,Nota,Submissoes,Testes
2013,1070,2.8500000000000005,249900,0.03,153,8282,75,0.0,29,264
2013,1079,2.44,979117,0.15000000000000002,144,11844,82,0.0,20,295
2013,1080,1.4000000000000001,1165278,0.01,69,10702,49,0.0,18,179
2013,1111,0.52,2252,0.0,34,1462,27,0.0,6,45
2013,1131,1.9300000000000002,627560,0.07,195,22753,153,0.0,41,422
2013,1137,0.63,3448212,0.03,64,11509,41,0.0,16,218
2013,1154,0.77,9151,0.03,65,4985,51,0.0,14,146
2013,1165,1.7100000000000002,170944,0.02,87,11832,51,0.0,73,500
2013,1193,0.73,6450,0.02,31,2744,21,0.0,4,95
2013,1201,2.0599999999999996,250809,0.02,136,11030,85,0.0,22,210
2013,1222,1.0499999999999998,13508,0.02,63,3560,44,0.0,10,55
2013,1238,3.82,750286,0.07,179,19430,127,0.0,24,455
2013,1260,1.1300000000000001,529172,0.01,80,5359,51,0.0,17,129
2013,1280,0.99,8877,0.0,40,4484,30,0.0,10,123
2013,1310,0.8200000000000001,9233,0.01,42,4854,33,0.0,10,118
2125,1013,2.44,110965,0.25,34,2012,29,0.0,80,54
2125,1030,2.41,1308203,0.10999999999999999,145,6264,67,0.0,78,39
2125,1041,0.78,804414,0.07,25,1604,25,0.0,30,65
2132,1013,3.52,8496,0.32,47,2115,40,0.0,15,13
2132,1030,1.75,573183,0.04,100,3834,58,0.0,11,76
2132,1053,0.78,6577,0.01,20,1812,20,0.0,8,54
2132,1076,0.0,0,0.0,13,2,6,0.0,0,1
2132,1157,0.26,1945,0.02,27,185,13,0.0,1,6
2139,1021,3.01,431599,0.19,35,1477,29,0.0,27,21
2139,1039,2.54,1101322,0.17,136,3660,64,0.0,17,62
2139,1069,0.42,2820,0.0,9,1036,5,0.0,0,43
2139,1079,2.01,460,0.93,145,1270,81,0.0,10,37
2139,1080,0.5,12,0.0,1,20,0,0.0,0,0
2139,1111,0.31,4206,0.0,14,1054,10,0.0,0,7
2139,1131,1.47,509,0.45999999999999996,161,923,136,0.0,7,28
2139,1154,0.23,1522,0.0,7,356,4,0.0,0,1
2139,1165,0.9500000000000001,538,1.44,177,122,113,0.0,12,49
2139,1201,0.0,163,0.52,69,49,45,0.0,5,16
2143,1021,2.3299999999999996,2436,0.0,43,1478,36,0.0,44,43
2143,1039,1.8,2184878,0.51,145,2331,76,0.0,41,59
2143,1069,0.4,426,0.0,16,428,11,0.0,2,11
2143,1079,1.6300000000000001,4540,0.0,128,4140,79,0.0,21,76
2143,1131,0.05,369,1.4100000000000001,279,177,230,0.0,16,46
2143,1165,0.3,34914,1.2,159,204,136,0.0,48,95
2143,1193,0.55,2230,0.02,26,1899,21,0.0,1,55
2143,1201,0.32,780,1.69,178,192,154,0.0,27,59
2143,1238,0.47,10232,1.2800000000000002,157,448,125,0.0,8,27
2146,1021,1.8000000000000003,1369847,0.1,35,795,29,0.0,37,34
2146,1039,2.6700000000000004,678331,0.09,147,2858,72,0.0,21,80
2146,1069,0.33,1888,0.0,19,688,10,0.0,8,21
2146,1070,1.1,2681,0.08,85,2082,57,0.0,9,53
2146,1079,1.72,824668,0.39000000000000007,140,1876,81,0.0,16,76
2146,1080,0.15,981,0.11,41,654,31,0.0,4,10
2146,1111,0.49,1884,0.01,33,1315,29,0.0,6,40
2146,1131,1.41,2236278,0.52,230,3668,162,0.0,14,111
2146,1137,0.0,120,1.75,291,74,210,0.0,11,33
2146,1154,0.8600000000000001,11629,0.03,66,3690,58,0.0,5,68
2146,1165,2.21,2148794,1.05,177,2542,113,0.0,16,100
2146,1173,0.19,188,0.0,4,106,3,0.0,0,0
2146,1193,0.47,6353,0.01,33,2388,17,0.0,4,49
2146,1201,2.6500000000000004,177378,0.11,114,3290,77,0.0,5,51
2146,1238,0.17,1035572,1.77,196,189,145,0.0,12,39
2146,1260,0.19,3194,0.0,32,212,20,0.0,2,14
2148,1021,3.0699999999999994,336882,0.04,41,3407,36,0.0,76,39
2148,1039,2.42,767809,0.75,127,1477,74,0.0,22,26
2148,1069,0.39,732,0.0,3,470,3,0.0,1,7
2148,1079,0.49,604153,1.05,132,979,85,0.0,14,27
2148,1111,0.48,7632,0.02,36,1782,26,0.0,13,60
2148,1131,3.22,337,1.21,281,640,230,0.0,13,35
2148,1154,0.37,4748,0.0,59,1864,43,0.0,1,9
2148,1165,0.22000000000000003,18253,1.52,157,184,136,0.0,22,43
2148,1193,0.49,3635,0.01,37,1502,30,0.0,0,5
2148,1260,0.21,115,0.4600000000000001,60,45,41,0.0,5,12
2149,1021,3.8000000000000007,428483,0.19000000000000003,42,2732,32,0.0,81,57
2149,1069,0.27,547,0.0,3,98,2,0.0,0,0
2151,1021,3.0799999999999996,2745,0.01,35,1198,29,0.0,20,17
2151,1039,3.0700000000000003,1126057,0.04,170,3644,68,0.0,12,59
2151,1069,0.48,5667,0.0,14,1100,8,0.0,1,35
2151,1079,0.2,3784,0.0,13,235,6,0.0,0,6
2151,1111,0.45,3955,0.02,32,1451,19,0.0,1,29
2151,1154,0.22,1677,0.01,16,1079,13,0.0,0,3
2154,1021,2.3600000000000003,179036,0.16999999999999998,41,1029,34,0.0,18,18
2154,1039,3.11,2920157,0.06,165,7221,75,0.0,25,133
2154,1069,0.54,6223160,0.0,15,1147,9,0.0,7,77
2154,1070,0.91,5800,0.03,29,1183,20,0.0,4,32
2154,1079,2.55,537588,0.03,163,6352,84,0.0,32,240
2154,1080,0.55,599927,0.33,69,1213,52,0.0,10,31
2154,1111,0.8200000000000001,7739,0.01,34,2125,28,0.0,12,90
2154,1131,1.73,1445286,0.04,192,8607,144,0.0,28,100
2154,1137,0.58,208,1.35,291,96,210,0.0,11,33
2154,1154,0.62,8962,0.04,58,3238,51,0.0,13,72
2154,1165,3.46,1915039,0.1,192,9435,125,0.0,23,158
2154,1173,0.49,727,0.01,27,453,15,0.0,0,2
2154,1193,0.65,4968,0.02,26,1557,19,0.0,2,32
2154,1201,1.4100000000000001,416293,0.05,75,2284,53,0.0,10,32
2154,1222,0.96,11495,0.01,47,2784,36,0.0,4,47
2154,1238,2.14,499029,0.8400000000000001,189,3512,137,0.0,19,58
2154,1260,0.9,421629,1.2400000000000002,251,315,174,0.0,10,33
2154,1280,0.86,17166,0.04,35,2151,28,0.0,7,48
2154,1310,0.8900000000000001,13009,0.0,42,2357,35,0.0,7,59
2170,1015,1.07,576,0.55,42,417,36,0.0,15,14
2170,1042,1.56,67837,0.12,111,5323,83,0.0,22,234
2170,1044,1.46,3472,0.12000000000000001,147,2013,76,0.0,31,22
2170,1066,0.33,815,0.0,13,446,11,0.0,4,17
2170,1074,0.85,417416,0.19000000000000003,76,4169,55,0.0,47,227
2170,1075,1.44,2124222,0.08,146,3502,90,0.0,33,149
2170,1109,0.28,1410,0.04,26,702,22,0.0,11,57
2170,1127,0.6000000000000001,87050,1.56,427,1885,405,0.0,15,82
2170,1128,1.8900000000000003,2800896,0.6000000000000001,380,6876,331,0.0,46,313
2170,1151,0.41000000000000003,1214945,0.15,68,1423,60,0.0,11,47
2170,1156,1.4200000000000002,1089557,0.8400000000000001,153,4046,120,0.0,25,340
2170,1174,1.44,44042,0.23000000000000004,205,4736,185,0.0,34,116
2170,1181,0.6699999999999999,3578,0.03,28,1030,22,0.0,1,32
2170,1195,0.76,628079,1.0400000000000003,121,386,112,0.0,9,30
2170,1213,0.0,32,2.0399999999999996,208,72,194,0.0,12,34
2170,1236,0.1,108,1.85,217,81,169,0.0,12,36
2170,1237,0.0,96,1.6999999999999997,111,60,108,0.0,10,25
2170,1261,0.05,3143,1.3400000000000003,184,85,121,0.0,10,23
2170,1279,0.49,11126,0.05,62,2034,53,0.0,8,38
2170,1298,0.74,582,0.03,35,176,34,0.0,2,8
2182,1018,4.0200000000000005,1039639,0.08,46,3490,32,0.0,132,83
2182,1037,3.27,1412304,0.04,146,11279,73,0.0,78,32
2182,1048,2.5900000000000003,674199,0.07,104,7349,81,0.0,81,146
2182,1061,0.69,2373,0.01,19,1712,14,0.0,10,27
2182,1086,1.6600000000000001,426525,0.04,91,2118,42,0.0,9,38
2182,1092,0.0,79,0.81,59,59,53,0.0,6,15
2182,1100,0.72,12088632,0.03,60,2144,44,0.0,3,26
2182,1136,0.9,778458,1.46,431,185,411,0.0,13,38
2182,1150,0.56,3523,0.02,38,1994,25,0.0,4,26
2182,1169,1.5499999999999998,121700,0.01,56,1305,30,0.0,4,33
2182,1186,0.08,189,1.9299999999999997,195,102,185,0.0,15,42
2182,1211,0.78,114603,0.02,26,2958,16,0.0,15,52
2182,1216,0.0,170,2.01,206,73,194,0.0,12,34
2182,1234,0.45999999999999996,5256,0.0,24,2338,22,0.0,16,78
2182,1251,0.0,448,1.6799999999999997,219,114,168,0.0,12,36
2182,1252,0.0,175,1.7499999999999998,121,71,117,0.0,11,25
2182,1270,0.82,4052,0.0,34,2595,26,0.0,2,11
2182,1289,0.75,173490,1.31,253,1595,173,0.0,25,71
2182,1305,0.43000000000000005,7033,0.02,23,2395,18,0.0,18,53
2182,1312,0.5,4105,0.0,34,1189,27,0.0,19,68
2184,1015,3.670000000000001,3912362,0.14,48,3816,39,0.0,234,63
2184,1042,1.8300000000000003,1557168,0.02,89,5459,67,0.0,29,169
2184,1044,3.08,1678212,0.03,149,4730,73,0.0,55,159
2184,1066,0.52,767186,0.0,11,893,7,0.0,2,43
2184,1074,0.7000000000000001,394681,0.0,66,1419,55,0.0,7,32
2184,1075,2.25,1724369,0.03,141,4035,90,0.0,23,106
2184,1109,0.63,3045702,0.0,26,1280,22,0.0,6,34
2184,1127,0.22,92,1.4600000000000004,425,100,405,0.0,12,36
2184,1128,0.99,81087,0.7899999999999999,378,1373,329,0.0,13,40
2184,1151,0.46,1717542,0.01,31,1442,25,0.0,8,43
2184,1156,1.58,1966819,0.5,141,2737,114,0.0,27,88
2184,1174,0.0,2214846,1.7000000000000004,203,170,185,0.0,15,45
2184,1181,0.15000000000000002,3889652,0.03,13,170,12,0.0,0,2
2184,1195,1.9700000000000002,1376007,0.71,170,2827,155,0.0,16,63
2184,1213,0.21,6571,0.6400000000000001,218,975,201,0.0,20,42
