Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Corretos,Incorretos,Branco,Nota
2403,594,1031.0,11.0,10.0,13.0,1.0,0.01,0.2,537.0,1,0,7,1.25
2403,623,3710.666666666666,14.333333333333336,12.0,40.333333333333336,4.333333333333333,0.0033333333333333327,0.26333333333333336,887.6666666666665,3,0,0,10.0
2403,635,197129.72727272726,15.0,12.0,4.909090909090909,1.0,0.0590909090909091,0.07,202.9090909090909,11,0,0,10.0
2403,653,236199.0,7.5,6.0,3.5,0.0,0.0,0.225,295.5,0,0,5,0.0
2403,669,2895.0,15.333333333333336,12.333333333333336,18.33333333333333,2.333333333333333,0.0,0.2,717.3333333333335,3,0,0,10.0
2403,695,281237.9,15.1,12.2,12.6,2.5,0.004,0.267,463.7,9,1,0,9.0
2403,696,41264.0,12.5,11.5,5.5,1.0,0.0,0.22,360.5,1,0,4,2.0
2403,715,3701.333333333334,23.0,19.33333333333333,27.66666666666667,6.666666666666668,0.0033333333333333327,0.20333333333333334,988.3333333333335,2,0,1,6.66667
2403,734,44714.875,20.5,14.75,4.375,1.125,0.028750000000000005,0.17125,257.0,8,0,2,8.0
2403,757,4031.666666666666,17.333333333333332,11.0,13.333333333333336,0.3333333333333333,0.0033333333333333327,0.3333333333333333,1151.6666666666667,1,0,2,3.33333
2404,413,49054.714285714275,2.571428571428572,2.071428571428572,8.428571428571429,3.071428571428572,0.0014285714285714286,0.14714285714285716,207.2142857142857,14,0,0,10.0
2404,436,25334.91666666667,8.916666666666666,6.083333333333332,10.333333333333334,1.5,0.0033333333333333327,0.28,671.25,12,0,0,10.0
2404,457,846.2857142857142,7.142857142857142,6.428571428571429,9.428571428571429,1.8571428571428568,0.0,0.2214285714285714,556.0,7,0,0,10.0
2404,475,532.5,8.0,7.0,7.0,1.0,0.0,0.155,418.5,2,0,0,10.0
2404,503,35923.333333333336,12.222222222222221,9.111111111111109,31.555555555555557,6.666666666666668,0.0022222222222222227,0.27888888888888885,1088.3333333333333,9,0,0,10.0
2404,504,463645.66666666674,11.5,9.833333333333334,23.16666666666667,3.6666666666666665,0.0016666666666666668,0.3083333333333333,1583.0,4,1,1,6.66667
2404,525,890.0,13.0,11.5,8.5,1.0,0.0,0.25,575.0,2,0,0,10.0
2404,552,40.833333333333336,17.333333333333332,15.333333333333336,3.1666666666666665,1.0,0.18166666666666667,0.0,11.166666666666664,6,0,0,10.0
2404,553,184754.77777777772,23.11111111111111,17.666666666666668,26.11111111111111,6.0,0.09888888888888887,0.10666666666666666,619.1111111111112,9,0,0,10.0
2404,577,986.0,14.0,12.5,22.5,5.5,0.01,0.25,776.0,2,0,0,10.0
2404,593,90068.28571428571,11.428571428571427,8.142857142857142,33.714285714285715,1.7142857142857142,0.0014285714285714286,0.24285714285714285,681.0,6,0,6,5.0
2404,623,2899.333333333333,11.666666666666664,10.333333333333334,19.0,2.0,0.006666666666666667,0.28,1008.3333333333335,2,0,1,6.66667
2404,635,96.0,12.272727272727273,10.545454545454543,3.9090909090909087,1.818181818181818,0.12181818181818185,0.04272727272727273,24.63636363636364,11,0,0,9.7
2404,653,25.5,9.0,8.5,3.0,1.0,0.22,0.0,9.0,2,0,3,4.0
2404,669,1298.6666666666667,5.666666666666668,4.0,14.666666666666664,0.3333333333333333,0.0033333333333333327,0.3133333333333333,835.0,0,1,2,0.0
