Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
404,11.5,10.5,5,1,0,0.175,374,0
45058,14,13.5,14,4,0.02,0.16,488,1.66667
289006,21.875,18.75,28.125,6.5,0.02125,0.14375,725.625,6.66667
354.5,12.5,12.5,7,2,0.015,0.095,446,0
39726,15.75,9.25,4.5,0.5,0.005,0.185,247.5,1.66667
901.5,10.5,9,15,2.5,0.005,0.115,424,4.43333
310.666667,7.333333,6.666667,2.666667,0.333333,0.006667,0.16,183,0.909091
135.428571,3.214286,2.785714,2,1.571429,0.005,0.184286,83.071429,0
23322.666667,10.583333,7,5.583333,2.166667,0.001667,0.279167,378.916667,0
30876.428571,8.428571,6.857143,14.285714,2.285714,0.002857,0.205714,462,0
851,9.5,6.5,15,1,0.005,0.335,747,0
1545.444444,10.111111,9,12.222222,3.333333,0.001111,0.283333,657.111111,0
245037.833333,13,12,27.333333,5.833333,0.025,0.225,711,0
386.5,8.5,8.5,4.5,1,0,0.245,391.5,0
37923.4,18.4,13.6,10.2,2.6,0.006,0.2,598.2,3.33333
1473,15,14.5,13.5,3,0,0.33,882.5,0
113746.333333,13,8.5,14,2.166667,0.003333,0.2,318.833333,4.16667
8754,13.8,13,8.9,2.1,0,0.224,429.4,7.88182
2498,13,8.5,8.5,0.5,0,0.36,1234.5,0
60415.7,15.9,12.6,9.3,1,0.003,0.148,445.2,0
135,2,2,0,0,0,0.27,103,0
1180,12.5,12.5,20.5,1.5,0,0.295,833.5,0
238651.25,19.875,13,6.75,0.875,0.03875,0.11125,168.625,0
2885,16,14,25,2,0,0.44,1252,0
710.5,12.5,12,5,1,0.005,0.245,407.5,0
98709.428571,6.714286,6.285714,5.571429,1,0.001429,0.095714,222.428571,0
2482,6,5.5,19,0,0,0.275,1098.5,0
150886.444444,12.222222,8.444444,15.444444,2.444444,0.001111,0.111111,630.222222,0
1065.5,11.5,10,11.5,1,0,0.215,814,0
1464.5,15.5,14.5,37.5,8.5,0.01,0.24,1115.5,0
136365.166667,11.833333,9.583333,60.666667,3,0.001667,0.198333,1395.916667,0
1492.666667,9.333333,8.666667,11.333333,1,0.003333,0.136667,302.666667,1.25
2684,11,10.5,28,2,0.005,0.235,1184.5,0
242801.818182,10.727273,9.454545,22.818182,2.545455,0.022727,0.209091,1014,5.45455
1610,11,11,6.5,1.5,0.005,0.12,574.5,0
56815.3,12.3,10.1,38.7,3.9,0.005,0.198,1181.2,0
1088,8.5,8.25,7.25,1.75,0.005,0.18,441.25,0
2287.5,17.5,17.5,13,1,0,0.18,1276,0
50024,22.625,17,12.625,2.625,0.01875,0.2025,508,0
2012,13,10,13,2,0,0.23,905.5,0
2009,13.5,13,24.5,1.5,0.02,0.305,718,0
2000,12.5,6,12,1.5,0.01,0.345,840.5,0
74520.333333,19.222222,9.222222,7.111111,1.888889,0.025556,0.164444,465.888889,0
3983,15.5,10,14,2,0,0.275,1012,0
3646,11.5,8,3.5,1,0,0.33,560.5,0
2870,15.5,13,10.5,1.5,0.005,0.3,828.5,0
1950,19,18,3,1,0.02,0.3,755,0
2845,17.5,11.5,5,1,0,0.315,904,0
516.142857,3.857143,3.428571,3.5,1.5,0,0.182857,132.785714,0
46908.714286,13.714286,6.571429,30.571429,3.857143,0.001429,0.247143,852.714286,0
252467.583333,18.25,6.333333,7.583333,2.166667,0.001667,0.231667,614.25,0
949.5,9,7.5,6,1.5,0,0.135,353.5,0
3973.166667,16.333333,11.666667,32.333333,3.5,0.003333,0.081667,663.5,0
281079.666667,25.222222,19.444444,28.333333,2.666667,0.004444,0.136667,798.888889,0
132385,21,15.8,40,3.6,0.004,0.112,1321.4,6.66667
1153,6,5,0,0,0,0.23,407,0
9310.75,13.25,10.75,34.75,2.125,0,0.08,546.125,0
5922.363636,13.909091,9.818182,7.636364,1.181818,0.001818,0.072727,391.454545,0
29467,14.909091,12.272727,8.454545,1.636364,0.000909,0.085455,525.181818,9.7
916.8,13.2,11.2,6,1,0.004,0.094,487.8,0
2412.1,14.6,10.6,8,1.6,0.002,0.081,449.9,0
564.4,13.4,11.2,4,1.4,0,0.118,426.4,0
86831.5,3.357143,2.857143,3.5,1.642857,0.019286,0.144286,158.071429,0
227332.916667,11.583333,6.5,17.75,2.166667,0.004167,0.228333,501.833333,0
11627.285714,8.285714,7.285714,8.285714,1.285714,0.005714,0.152857,425.857143,0
680,8.5,7.5,10.5,1.5,0.005,0.22,407,0
103066,13.666667,8.666667,27.666667,3.666667,0.002222,0.201111,729.444444,7.77778
2198,10.5,10.5,29.5,2.5,0.005,0.225,833,0
175125.666667,32,27.444444,51.444444,7.777778,0.01,0.211111,1709.666667,8.88889
1363.5,13,12.5,27.5,3.5,0.005,0.2,1715,0
69079.142857,14,9.714286,38.142857,1.428571,0.007143,0.262857,579,4.16667
1714,9,5,16,0,0.01,0.42,1105,0
305.5,5,3.5,3,0.5,0,0.255,176,0.909091
760,27,11,8,2,0.04,0.32,113,0
68.071429,2.5,2.071429,1.928571,1,0.03,0.130714,29.857143,0
124546.833333,10.583333,5.916667,3.25,1,0.011667,0.2,149.666667,0
265.142857,5.857143,5.714286,5,1.142857,0.012857,0.132857,120.714286,0
178,4,4,4,1,0.016667,0.106667,111.333333,0
960.333333,12.5,12,5.5,1.333333,0.045,0.143333,189.166667,0
175.222222,13.333333,8.222222,3.888889,1,0.012222,0.18,176.888889,0
191.666667,6,6,5,1.333333,0.01,0.146667,173,0
1456.333333,20.555556,18.222222,14.444444,4.222222,0.011111,0.238889,470,0
639.666667,16,15.333333,8.666667,2,0.013333,0.266667,490,0
553.5,14.333333,12.25,8.416667,1.75,0.011667,0.330833,215,0
504.333333,9,9,9.666667,2,0.01,0.17,238.333333,0
54137.454545,12.545455,12.454545,11.636364,1.727273,0.005455,0.184545,378.636364,0
235.333333,15,15,6,1.333333,0.003333,0.183333,407,0
1050.3,14.7,11.8,6.9,1.3,0.01,0.226,266.5,0
732,25,23.333333,15.333333,2.333333,0.003333,0.25,907,0
1049.1,30.3,22.9,8.8,1.1,0.018,0.181,507.6,0
242,12.333333,11.333333,5.666667,1,0.01,0.223333,338,0
750.142857,2.785714,2.071429,1.857143,1.285714,0.015,0.11,68.071429,0
51935.083333,10.75,6.666667,3.5,2.416667,0.010833,0.229167,332.666667,0
6080.714286,8.142857,7.285714,16.285714,3.857143,0.005714,0.188571,346.857143,0
846,9,8,8,1.5,0.005,0.115,505,0
453,12.111111,8.444444,9.333333,4.888889,0.001111,0.185556,430.333333,0
29353.5,12,11.333333,18.333333,9,0.04,0.14,818.833333,0
1054.5,10.5,9.5,30,9.5,0,0.265,617.5,0
1179.5,10.5,10,15,3.5,0.01,0.24,668.5,0
36691.571429,2.642857,2.214286,4.857143,1.571429,0.013571,0.199286,146.357143,0
271866.833333,11.083333,6.083333,15.5,2.083333,0.001667,0.175833,694.083333,0
85526.857143,7,6.428571,21.571429,2.428571,0.002857,0.221429,799.428571,0
269005.888889,13,9.111111,20.666667,4.555556,0.004444,0.248889,767.555556,0
2008,15.5,12,23,4,0,0.25,1082.5,0
274103.222222,28.888889,22,28.444444,3.555556,0.008889,0.246667,1484.888889,0
264135.5,28,20.5,11,1,0.01,0.17,1154,0
3021,14.5,13,27,4,0.005,0.13,849.5,0
2865,12,11,24,1,0,0.24,907,0
1932.5,15,13,10.5,0.5,0.005,0.085,637.5,1.66667
1266,22.5,20.5,14,3,0,0.095,785,0
1501.75,15.083333,12,5.75,1.416667,0.000833,0.201667,330.833333,0
1528,12,11.5,15.5,2.5,0,0.11,506,0
85995.142857,14.142857,13.285714,4.571429,4,0,0.084286,415.285714,5.45455
1219.5,17,15.5,11,3.5,0,0.16,499.5,0
601.5,17.5,11.5,0.5,0.5,0,0.03,93.5,0
259,4.5,3,0,0,0,0.01,91.5,0
236.785714,2.142857,1.928571,13,5.285714,0.004286,0.113571,142.571429,0
2877.5,10.5,3,11,1,0.005,0.14,264.5,0
177.071429,3.142857,2.642857,2.5,2.071429,0.025714,0.202143,60.785714,0
678,14,6.25,6.166667,3.583333,0.005833,0.278333,309.166667,0
789.25,8.5,6.5,14.5,4.5,0.0025,0.1775,300.75,5.71429
1255.5,10,8.5,14,3,0.005,0.225,536.5,0
24264.571429,13.857143,7.285714,15.857143,7,0.005714,0.225714,396.571429,5.55556
1251,13,10,5.5,1,0,0.155,454.5,0
109837.5,32,22.25,25.5,7.5,0.005,0.2975,1228.75,3.33333
2174,11,8,10,2,0,0.32,732,0
1360.75,16.5,14.75,4,1.75,0.0025,0.085,323.25,2.72727
278,20,11.5,4,3,0,0.24,315.5,0
221518.857143,3.928571,3.571429,15.785714,4.857143,0.000714,0.15,241.857143,0
267662.5,4.5,4.5,19.5,1.5,0,0.135,333.5,2.85714
907,7.5,7.5,24,5,0.005,0.165,435.5,0
1184.6,11,7.2,12.8,2,0,0.198,417.4,4.44444
93024,9.5,9.5,15.5,7,0,0.17,658.5,1.66667
1740.5,10,10,18,2,0,0.16,744,0
1480.5,21,14,10,1.5,0.005,0.27,290,0
2274.5,15,15,53,5.5,0,0.215,1149,0
144794.666667,15.666667,7.666667,10,0.666667,0,0.22,312.666667,1.66667
42678.357143,2.142857,2.071429,8.071429,2.5,0.008571,0.142857,253.142857,0
149585.285714,8.571429,5.571429,24.428571,5.428571,0.002857,0.331429,920.857143,5.71429
2534.416667,11.166667,5.666667,5.916667,2.666667,0.000833,0.241667,359.416667,0
1187,12,7.5,37.5,10,0.005,0.21,480,0
200139.666667,10,7.333333,8.333333,5,0.003333,0.186667,281.333333,0
8708,14,13,18,0,0,0.27,1514,0
2830,10,8,2.5,0,0.005,0.33,1053,0
540.25,12.5,7.75,6.5,1.25,0,0.26,227.75,2.72727
498.333333,10,4.666667,2,0.666667,0,0.09,168.333333,1.81818
2024.5,6,3.5,11.5,1,0,0.22,1126.5,0
3545.333333,13.666667,11,22,0.666667,0.003333,0.306667,1039,6.66667
6072.5,14.25,9.75,26.5,1,0,0.1725,828,0
24758.714286,2.857143,2.285714,5.285714,2,0.022143,0.152857,121.928571,0
188712.25,14.333333,6.333333,10.666667,1.166667,0.004167,0.225833,585.75,0
465.5,7.5,4.5,24,6.5,0.005,0.155,406.5,1.42857
67779.777778,17.333333,9.222222,11.888889,4.666667,0.022222,0.164444,459.666667,0
177804.833333,13.5,9.5,15.166667,3.833333,0.001667,0.186667,1271.833333,6.66667
662,14,10,13.5,3,0.01,0.135,492.5,0
71475,21.333333,15.333333,31.222222,7.111111,0.004444,0.155556,1850.555556,0
655.5,18.5,16.5,9,2.5,0.005,0.14,1023.5,0
